station;termin;nat_abbr;dv1towz0;fk1towz0;fu3towz0;fu3towz1;gre000z0;sre000z0;ta1tows0;tdetows0;uretows0
392;20230101122000;UEB;244;3.5;11.9;20.9;335;10;10.8;4.8;66.6
392;20230101123000;UEB;248;3.5;12.2;25.2;334;10;10.8;4.6;65.7
392;20230101124000;UEB;242;4.0;14.4;22.3;330;10;10.8;4.6;65.4
392;20230101125000;UEB;233;4.0;14.4;22.0;309;10;11.1;4.5;63.6
392;20230101130000;UEB;241;4.7;16.6;22.0;298;10;11.1;4.3;63.0
392;20230101131000;UEB;254;2.1;6.8;14.0;299;10;10.9;4.7;65.6
392;20230101132000;UEB;232;1.6;5.4;14.4;280;10;11.7;5.1;63.8
392;20230101133000;UEB;228;1.6;5.0;11.5;268;10;11.2;4.8;64.5
392;20230101134000;UEB;216;1.5;5.0;9.7;255;10;11.6;4.8;63.1
392;20230101135000;UEB;211;1.0;3.2;7.9;222;10;11.3;4.9;64.5
392;20230101140000;UEB;163;1.3;4.3;11.2;199;10;11.9;3.9;57.8
392;20230101141000;UEB;145;1.2;3.6;9.7;173;10;11.6;4.7;62.4
392;20230101142000;UEB;147;1.2;3.6;10.1;166;10;11.7;4.3;60.6
392;20230101143000;UEB;152;1.0;2.9;10.8;145;10;11.8;4.3;60.1
392;20230101144000;UEB;179;1.5;4.3;10.8;128;10;11.9;3.7;57.3
392;20230101145000;UEB;187;1.5;4.7;11.9;110;10;11.8;4.2;59.8
392;20230101150000;UEB;172;2.4;8.3;18.4;94;3;12.2;2.6;51.9
392;20230101151000;UEB;171;4.0;14.0;22.3;73;0;12.3;2.4;50.6
392;20230101152000;UEB;168;3.1;10.8;18.0;54;0;12.1;2.5;51.9
392;20230101153000;UEB;178;4.6;16.6;23.0;30;0;12.5;2.2;49.3
392;20230101154000;UEB;169;5.5;19.8;25.2;12;0;12.7;1.7;46.9
392;20230101155000;UEB;168;3.8;13.7;20.2;6;0;12.5;2.1;48.9
392;20230101160000;UEB;175;3.3;11.5;17.3;5;0;12.3;2.1;49.8
392;20230101161000;UEB;163;2.6;9.4;17.6;4;0;12.4;1.4;46.9
392;20230101162000;UEB;162;2.2;7.6;16.6;4;0;12.6;1.3;46.0
392;20230101163000;UEB;167;3.7;13.3;22.0;3;0;12.6;1.2;45.8
392;20230101164000;UEB;194;4.7;14.4;30.2;4;0;11.3;4.2;61.6
392;20230101165000;UEB;186;5.1;17.6;26.3;4;0;12.8;1.0;44.3
392;20230101170000;UEB;184;4.7;15.8;24.8;4;0;13.1;0.2;41.2
392;20230101171000;UEB;175;3.9;14.0;19.1;3;0;12.4;1.4;47.1
392;20230101172000;UEB;174;4.3;15.5;18.7;4;0;12.6;1.1;45.4
392;20230101173000;UEB;174;5.0;18.0;20.5;4;0;12.6;0.9;44.8
392;20230101174000;UEB;186;5.1;18.4;22.0;4;0;12.2;1.9;49.4
392;20230101175000;UEB;201;5.1;18.4;22.0;4;0;11.7;2.9;54.6
392;20230101180000;UEB;211;3.9;14.0;16.9;4;0;11.6;3.0;55.6
392;20230101181000;UEB;228;4.0;14.0;19.1;4;0;11.2;3.9;60.7
392;20230101182000;UEB;223;4.8;17.3;25.2;4;0;11.4;3.4;57.8
392;20230101183000;UEB;217;5.6;19.8;26.6;4;0;11.4;3.4;57.8
392;20230101184000;UEB;215;5.4;19.4;24.5;4;0;11.4;3.1;56.5
392;20230101185000;UEB;220;5.2;18.7;23.0;4;0;11.6;2.1;52.0
392;20230101190000;UEB;220;5.8;20.5;23.0;4;0;11.3;3.0;56.6
392;20230101191000;UEB;237;4.9;17.3;22.3;4;0;11.2;3.1;57.2
392;20230101192000;UEB;235;5.2;18.7;20.9;4;0;11.3;3.0;56.5
392;20230101193000;UEB;239;5.8;20.9;23.0;4;0;11.4;2.8;55.4
392;20230101194000;UEB;229;6.3;22.7;27.4;4;0;11.5;2.4;53.5
392;20230101195000;UEB;218;6.2;22.3;24.8;4;0;11.6;2.2;52.6
392;20230101200000;UEB;224;6.1;22.0;23.8;4;0;11.5;2.7;54.7
392;20230101201000;UEB;227;6.6;23.8;26.6;4;0;11.5;2.7;54.5
392;20230101202000;UEB;220;6.6;23.8;25.9;4;0;11.6;2.0;51.7
392;20230101203000;UEB;221;6.7;24.1;25.9;4;0;11.6;2.1;52.0
392;20230101204000;UEB;221;6.7;24.1;26.6;4;0;11.4;2.4;53.8
392;20230101205000;UEB;221;6.8;24.5;30.2;4;0;11.0;3.2;58.6
392;20230101210000;UEB;226;7.2;25.9;31.7;4;0;10.7;3.5;61.2
392;20230101211000;UEB;230;7.5;27.0;31.0;4;0;10.9;3.3;59.2
392;20230101212000;UEB;231;6.1;22.0;25.6;4;0;11.1;2.9;57.1
392;20230101213000;UEB;234;5.7;20.5;24.8;4;0;10.9;3.2;59.1
392;20230101214000;UEB;228;5.4;19.4;22.0;4;0;11.3;2.4;54.4
392;20230101215000;UEB;225;5.7;20.5;22.7;4;0;11.3;2.4;54.4
392;20230101220000;UEB;223;4.8;17.3;19.8;4;0;11.4;2.3;53.6
392;20230101221000;UEB;207;4.3;15.5;19.1;4;0;11.4;2.3;53.5
392;20230101222000;UEB;191;4.0;14.0;16.9;4;0;11.3;2.3;53.9
392;20230101223000;UEB;189;2.9;10.4;15.1;4;0;11.3;2.3;53.9
392;20230101224000;UEB;185;2.1;7.2;10.8;4;0;10.8;2.9;58.1
392;20230101225000;UEB;149;1.5;5.0;9.4;4;0;10.9;2.8;57.3
