station;termin;nat_abbr;fh9120mv;fhs010m0;gh9120mv;ghs000m0;ph9120mv;phsstam0;pv9120mv;pva2hsm0;rh9120mv;rhs150m0;sh9120mv;shs000m0;th9120mv;th91dnmv;th91dxmv;ths200m0;ths2dymn;ths2dymx
75;20230101000000;BAS;;;;;;;;;76;36.5;56;2185;2.1;1.8;2.0;4.3;1.3;7.1
75;20230201000000;BAS;;;;;;;;;22;9.9;135;6914;1.5;1.1;1.9;4.7;1.0;9.0
75;20230301000000;BAS;;;;;;;;;144;71.2;83;6673;1.4;1.1;1.5;8.4;3.7;13.3
75;20230401000000;BAS;;;;;;;;;109;69.5;67;6752;-1.1;-0.3;-2.0;9.6;5.2;14.2
75;20230501000000;BAS;;;;;;;;;55;53.9;102;11341;0.6;0.8;0.6;15.2;10.3;20.6
75;20230601000000;BAS;;;;;;;;;86;74.5;153;19452;2.9;1.0;3.9;21.1;14.1;27.6
