station;termin;nat_abbr;th9120dv;th91dndv;th91dxdv;ths200d0;ths200dn;ths200dx
75;20230325000000;BAS;1.7;1.9;0.6;9.8;5.3;13.8
75;20230326000000;BAS;0.7;2.1;1.6;9.0;5.6;14.9
75;20230327000000;BAS;-2.6;0.4;-4.7;5.8;4.0;8.8
75;20230328000000;BAS;-1.3;-3.7;-1.3;7.2;0.0;12.3
75;20230329000000;BAS;4.7;3.7;7.1;13.3;7.4;20.8
75;20230330000000;BAS;6.3;8.6;4.8;15.0;12.4;18.7
75;20230331000000;BAS;3.1;2.9;3.1;11.9;6.8;17.1
75;20230401000000;BAS;0.3;2.2;-1.9;9.3;6.2;12.4
75;20230402000000;BAS;0.1;1.4;-1.5;9.2;5.5;12.9
75;20230403000000;BAS;-4.1;-1.6;-6.2;5.1;2.6;8.4
75;20230404000000;BAS;-4.4;-5.2;-4.5;4.9;-0.9;10.2
75;20230405000000;BAS;-5.2;-6.2;-3.8;4.3;-1.8;11.0
75;20230406000000;BAS;-2.0;-4.7;-1.4;7.6;-0.2;13.6
75;20230407000000;BAS;-3.3;-0.6;-6.3;6.4;4.0;8.8
75;20230408000000;BAS;-1.6;-1.7;-3.0;8.2;3.0;12.3
75;20230409000000;BAS;-0.4;-0.8;0.0;9.5;4.0;15.4
75;20230410000000;BAS;2.2;-0.4;2.0;12.2;4.4;17.5
75;20230411000000;BAS;1.1;3.5;-0.1;11.2;8.4;15.5
75;20230412000000;BAS;-0.4;1.3;-0.6;9.9;6.3;15.2
75;20230413000000;BAS;-3.0;-1.0;-5.3;7.4;4.2;10.6
75;20230414000000;BAS;-1.8;-2.6;-1.8;8.7;2.7;14.2
75;20230415000000;BAS;-2.1;0.1;-4.0;8.5;5.5;12.2
75;20230416000000;BAS;-2.6;1.6;-6.7;8.1;7.1;9.6
75;20230417000000;BAS;-1.5;0.6;-2.5;9.4;6.2;13.9
75;20230418000000;BAS;-1.1;0.6;-1.4;9.9;6.3;15.1
75;20230419000000;BAS;-1.7;-0.1;-3.4;9.4;5.7;13.3
75;20230420000000;BAS;-5.2;-1.9;-7.8;6.0;4.0;9.0
75;20230421000000;BAS;-2.4;-4.4;-3.8;8.9;1.7;13.1
75;20230422000000;BAS;1.5;-0.5;4.4;13.0;5.7;21.4
75;20230423000000;BAS;2.2;4.1;3.5;13.8;10.4;20.7
75;20230424000000;BAS;-0.9;1.0;-3.0;10.8;7.4;14.3
75;20230425000000;BAS;-3.7;-1.6;-4.4;8.1;5.0;13.0
75;20230426000000;BAS;-2.5;-2.2;-2.5;9.5;4.5;15.0
75;20230427000000;BAS;2.1;2.0;2.1;14.2;8.8;19.7
75;20230428000000;BAS;2.4;4.0;2.1;14.6;11.0;19.9
75;20230429000000;BAS;2.7;3.7;1.8;15.0;10.8;19.7
75;20230430000000;BAS;1.0;1.6;-0.3;13.5;8.8;17.7
75;20230501000000;BAS;0.2;2.8;-0.9;12.9;10.3;17.3
75;20230502000000;BAS;0.4;0.3;1.6;13.3;8.0;19.9
75;20230503000000;BAS;0.4;-2.0;2.6;13.4;5.8;21.1
75;20230504000000;BAS;4.4;-0.8;6.6;17.5;7.1;25.2
75;20230505000000;BAS;3.5;6.1;5.3;16.7;14.2;24.0
75;20230506000000;BAS;3.7;5.0;3.3;17.1;13.2;22.1
75;20230507000000;BAS;2.0;3.2;0.7;15.5;11.5;19.6
75;20230508000000;BAS;1.9;3.7;0.1;15.5;12.2;19.1
75;20230509000000;BAS;1.6;3.1;2.1;15.3;11.7;21.3
75;20230510000000;BAS;-0.7;2.3;-2.4;13.2;11.0;16.9
75;20230511000000;BAS;-2.1;1.2;-4.2;11.9;10.1;15.2
75;20230512000000;BAS;-1.0;0.7;-1.5;13.1;9.7;18.0
75;20230513000000;BAS;-1.6;1.4;-2.8;12.6;10.5;16.8
75;20230514000000;BAS;-1.5;-0.4;-1.6;12.9;8.9;18.1
75;20230515000000;BAS;-1.3;-0.4;-0.7;13.2;9.0;19.2
75;20230516000000;BAS;-4.4;-0.7;-8.8;10.2;8.8;11.2
75;20230517000000;BAS;-3.5;-3.2;-4.6;11.2;6.5;15.5
75;20230518000000;BAS;-3.1;-5.3;-4.2;11.8;4.5;16.0
75;20230519000000;BAS;-1.4;0.1;-3.3;13.6;10.0;17.0
75;20230520000000;BAS;-0.5;1.7;-2.2;14.6;11.7;18.3
75;20230521000000;BAS;3.0;1.9;4.6;18.2;12.1;25.2
75;20230522000000;BAS;4.1;2.7;5.9;19.4;13.0;26.6
75;20230523000000;BAS;2.3;3.5;1.5;17.8;13.9;22.3
75;20230524000000;BAS;-2.5;0.3;-4.5;13.1;10.8;16.5
75;20230525000000;BAS;0.1;-0.8;0.3;15.8;9.9;21.4
75;20230526000000;BAS;2.3;0.4;3.3;18.1;11.2;24.5
75;20230527000000;BAS;2.2;0.2;3.8;18.2;11.1;25.1
75;20230528000000;BAS;2.5;-0.4;4.2;18.6;10.6;25.7
75;20230529000000;BAS;2.4;-1.4;5.3;18.6;9.8;26.9
75;20230530000000;BAS;2.1;-0.6;3.6;18.4;10.7;25.3
75;20230531000000;BAS;2.6;-1.3;5.1;19.0;10.1;26.9
75;20230601000000;BAS;3.5;0.3;4.6;20.2;12.0;26.7
75;20230602000000;BAS;2.4;1.3;3.7;19.2;13.1;25.9
75;20230603000000;BAS;1.9;-1.8;4.0;18.8;10.1;26.4
75;20230604000000;BAS;2.0;0.4;3.9;19.1;12.4;26.4
75;20230605000000;BAS;2.2;-1.3;3.8;19.4;10.8;26.4
75;20230606000000;BAS;3.0;0.1;4.0;20.3;12.4;26.7
75;20230607000000;BAS;3.1;-0.5;3.9;20.5;11.9;26.8
75;20230608000000;BAS;3.5;1.9;4.7;21.0;14.4;27.7
75;20230609000000;BAS;4.8;0.8;6.2;22.4;13.4;29.3
75;20230610000000;BAS;4.7;2.6;5.2;22.4;15.3;28.4
75;20230611000000;BAS;4.7;2.8;5.8;22.5;15.6;29.1
75;20230612000000;BAS;4.3;0.7;6.1;22.2;13.6;29.5
