station;termin;nat_abbr;cc1000s0;ccl000s0;nto000s0;vho000s0;wat000s0
75;20230220114000;BAS;0;;1;84;2
75;20230220174000;BAS;0;;3;88;2
75;20230221055000;BAS;0;;1;86;2
75;20230221115000;BAS;0;;1;85;2
75;20230221174000;BAS;0;;1;86;1
75;20230222054000;BAS;3;;3;80;3
75;20230222115000;BAS;6;;8;65;2
75;20230222174000;BAS;7;;8;50;60
75;20230223055000;BAS;7;;7;25;10
75;20230223114000;BAS;8;;6;70;2
75;20230223174000;BAS;6;;5;69;2
75;20230224055000;BAS;7;;8;58;10
75;20230224114000;BAS;6;;5;59;5
75;20230224174000;BAS;6;;6;60;6
75;20230225055000;BAS;6;;8;75;2
75;20230225114000;BAS;6;;7;84;2
75;20230225174000;BAS;6;;6;84;3
75;20230226055000;BAS;6;;3;75;1
75;20230226114000;BAS;6;;7;84;15
75;20230226174000;BAS;6;;7;83;2
75;20230227055000;BAS;6;;7;84;2
75;20230227114000;BAS;6;;7;86;2
75;20230227174000;BAS;7;;8;84;2
75;20230228055000;BAS;6;;8;20;71
75;20230228115000;BAS;6;;8;75;2
75;20230228174000;BAS;6;;6;80;1
75;20230301055000;BAS;7;;8;57;10
75;20230301114000;BAS;7;;8;60;10
75;20230301174000;BAS;7;;8;60;5
75;20230302055000;BAS;7;;8;50;10
75;20230302114000;BAS;7;;8;57;10
75;20230302174000;BAS;0;;3;56;5
75;20230303055000;BAS;7;;7;30;10
75;20230303114000;BAS;7;;6;50;5
75;20230303174000;BAS;6;;7;40;5
75;20230304055000;BAS;;;0;50;10
75;20230304115000;BAS;;;0;56;5
75;20230304174000;BAS;;;0;30;5
75;20230305055000;BAS;;;0;20;10
75;20230305114000;BAS;8;;1;62;5
75;20230305174000;BAS;6;;7;65;2
75;20230306055000;BAS;6;;8;70;2
75;20230306114000;BAS;6;;7;80;2
75;20230306174000;BAS;6;;7;81;2
75;20230307055000;BAS;3;;8;70;2
75;20230307114000;BAS;6;;7;70;2
75;20230307174000;BAS;6;;7;82;3
75;20230308054000;BAS;5;;8;65;2
75;20230308114000;BAS;6;;8;70;15
75;20230308173000;BAS;6;;8;70;21
75;20230309055000;BAS;8;;7;80;1
75;20230309114000;BAS;;;6;;
75;20230309174000;BAS;6;;7;83;14
75;20230310054000;BAS;7;;8;60;82
75;20230310114000;BAS;6;;8;65;25
75;20230310174000;BAS;6;;7;82;15
75;20230311055000;BAS;8;;8;56;85
75;20230311114000;BAS;6;;7;83;1
75;20230311174000;BAS;6;;8;82;2
75;20230312055000;BAS;6;;7;59;10
75;20230312115000;BAS;8;;6;60;80
75;20230312174000;BAS;6;;5;82;1
75;20230313055000;BAS;6;;7;84;25
75;20230313114000;BAS;3;;7;86;2
75;20230313174000;BAS;6;;5;86;2
75;20230314055000;BAS;6;;7;83;1
75;20230314121000;BAS;8;;7;82;25
75;20230314174000;BAS;8;;4;83;25
75;20230315055000;BAS;6;;1;86;1
75;20230315115000;BAS;8;;5;82;3
75;20230315174000;BAS;6;;4;84;2
75;20230316054000;BAS;0;;1;82;2
75;20230316115000;BAS;6;;5;84;3
75;20230316175000;BAS;6;;4;81;1
75;20230317054000;BAS;0;;3;82;2
75;20230317115000;BAS;3;;7;84;2
75;20230317175000;BAS;3;;7;86;2
75;20230318060000;BAS;3;;3;84;2
75;20230318114000;BAS;6;;6;85;3
75;20230318174000;BAS;6;;7;84;14
75;20230319055000;BAS;8;;7;82;2
75;20230319115000;BAS;8;;7;83;3
75;20230319174000;BAS;8;;7;50;16
75;20230320055000;BAS;6;;7;86;1
75;20230320114000;BAS;6;;7;86;1
75;20230320174000;BAS;6;;7;89;2
75;20230321055000;BAS;3;;6;85;2
75;20230321115000;BAS;8;;7;84;2
75;20230321175000;BAS;6;;7;85;3
75;20230322054000;BAS;0;;4;82;2
75;20230322114000;BAS;0;;6;86;2
75;20230322174000;BAS;3;;7;86;3
75;20230323055000;BAS;3;;7;83;2
75;20230323114000;BAS;6;;8;84;3
75;20230323174000;BAS;6;;8;84;2
75;20230324055000;BAS;7;;8;80;21
75;20230324114000;BAS;7;;8;65;61
75;20230324175000;BAS;8;;6;80;21
75;20230325055000;BAS;6;;7;70;25
75;20230325120000;BAS;8;;6;84;2
75;20230325174000;BAS;8;;6;83;15
75;20230326055000;BAS;6;;8;75;21
75;20230326115000;BAS;9;;5;84;15
75;20230326175000;BAS;6;;7;84;2
75;20230327054000;BAS;8;;7;84;2
75;20230327114000;BAS;8;;5;84;1
75;20230327174000;BAS;6;;7;84;2
75;20230328055000;BAS;6;;1;85;2
75;20230328114000;BAS;8;;6;84;2
75;20230328174000;BAS;6;;7;84;2
75;20230329055000;BAS;6;;8;81;2
75;20230329114000;BAS;6;;6;85;2
75;20230329175000;BAS;6;;8;84;2
75;20230330055000;BAS;8;;7;75;16
75;20230330114000;BAS;7;;8;69;60
75;20230330174000;BAS;8;;6;83;15
75;20230331055000;BAS;7;;6;81;25
