Typ;Typ2;SHORT_NAME_TX;DESC_G_TX;NAME_G_TX;Art;TIME_GRANULARITY_TX;DECIMALS_NU;VALUE_RANGE_TX;DATA_TYPE_TX;SHORT_SIGN_TX;PARAMETER_ID
smn;;wcc006d0;Föhnindex, Tageswert;Wind;aggregat;D;0;0..2;Integer;min;5376
smn;;wcc006h0;"Föhnindex; Stundenwert";Wind;aggregat;H;0;0..2;Integer;min;7706
smn;;wcc006s0;Föhnindex;Wind;aggregat;T;0;0..2;Integer;Code;741
smn-soil;;tso005d0;"Bodentemperatur 5 cm Tiefe; Tagesmittel";Bodentemperatur;aggregat;D;1;-99.9..99.9;Float;°C;245
smn-soil;;tso005h0;"Bodentemperatur 5 cm Tiefe; Stundenmittel";Bodentemperatur;aggregat;H;1;-99.9..99.9;Float;°C;4935
smn-soil;;tso005m0;"Bodentemperatur 5 cm Tiefe; Monatsmittel";Bodentemperatur;aggregat;M;1;-99.9..99.9;Float;°C;397
smn-soil;;tso005s0;"Bodentemperatur 5 cm Tiefe; Momentanwert";Bodentemperatur;originalwert;T;1;-99.9..99.9;Float;°C;104
smn-soil;;tso005y0;"Bodentemperatur 5 cm Tiefe; Jahresmittel";Bodentemperatur;aggregat;Y;1;-99.9..99.9;Float;°C;510
smn-soil;;tso010h0;"Bodentemperatur 10 cm Tiefe; bürgerliches Stundenmittel";Bodentemperatur;aggregat;H;1;-99.9..99.9;Float;°C;5368
smn-soil;;tso010s0;"Bodentemperatur 10 cm Tiefe; Momentanwert";Bodentemperatur;originalwert;T;1;-99.9..99.9;Float;°C;105
smn-soil;;tso020h0;"Bodentemperatur 20 cm Tiefe; bürgerliches Stundenmittel";Bodentemperatur;aggregat;H;1;-99.9..99.9;Float;°C;5369
smn-soil;;tso020s0;"Bodentemperatur 20 cm Tiefe; Momentanwert";Bodentemperatur;originalwert;T;1;-99.9..99.9;Float;°C;106
smn-soil;;tso030s0;"Bodentemperatur 30 cm Tiefe; Momentanwert";Bodentemperatur;originalwert;T;1;-99.9..99.9;Float;°C;107
smn-soil;;tso040h0;"Bodentemperatur 40 cm Tiefe; bürgerliches Stundenmittel";Bodentemperatur;aggregat;H;1;-99.9..99.9;Float;°C;5472
smn-soil;;uso005s0;"Bodenfeuchte -5 cm Tiefe N; Mittelwert 10 Minuten";Bodenfeuchte;originalwert;T;2;0..999.99;Float;Vol%;5432
smn-soil;;uso010h0;"Bodenfeuchte 10 cm Tiefe N; Stundenmittel";Bodenfeuchte;aggregat;H;2;0..999.99;Float;Vol%;7705
smn-soil;;uso010s0;"Bodenfeuchte 10 cm Tiefe N; Momentanwert";Bodenfeuchte;originalwert;T;2;0..999.99;Float;Vol%;1536
smn-soil;;uso020h0;"Bodenfeuchte 20 cm Tiefe N; Stundenmittel";Bodenfeuchte;aggregat;H;2;0..999.99;Float;Vol%;5474
smn-soil;;uso020s0;"Bodenfeuchte 20 cm Tiefe N; Momentanwert";Bodenfeuchte;originalwert;T;2;0..999.99;Float;Vol%;3116
smn-soil;;uso040h0;"Bodenfeuchte 40 cm Tiefe N; Bürgerlichte Stunde";Bodenfeuchte;aggregat;H;2;0..999.99;Float;Vol%;5475
smn-soil;;uso040s0;"Bodenfeuchte 40 cm Tiefe N; Momentanwert";Bodenfeuchte;originalwert;T;2;0..999.99;Float;Vol%;3118
smn-tower;;dk1towh0;"Windrichtung; Stundenmittel; Instrument 1";Wind;aggregat;H;0;0..360;Integer;°;776
smn-tower;;dv1towz0;"Windrichtung vektoriell; Zehnminutenmittel; Instrument 1";Wind;originalwert;T;0;0..360;Integer;°;578
smn-tower;;fk1towz0;"Windgeschwindigkeit skalar; Zehnminutenmittel; Instrument 1";Wind;originalwert;T;1;0..99.9;Float;m/s;571
smn-tower;;fn1towd0;"Windweg Nordkomponente ; Tagesmittel; Instrument 1";Wind;aggregat;D;1;-99.9..99.9;Float;m/s;792
smn-tower;;fu3towd0;"Windgeschwindigkeit skalar; Tagesmittel; Instrument 1";Wind;aggregat;D;1;0..999.9;Float;km/h;8004
smn-tower;;fu3towd1;"Böenspitze (Sekundenböe); Tagesmaximum; Instrument 1";Wind;aggregat;D;1;0..999.9;Float;km/h;8005
smn-tower;;fu3towh0;"Windgeschwindigkeit Turm skalar; Stundenmittel";Wind;aggregat;H;1;0..999.9;Float;km/h;5539
smn-tower;;fu3towh1;"Böenspitze (Sekundenböe) Turm; Stundenmaximum";Wind;aggregat;H;1;0..999.9;Float;km/h;5540
smn-tower;;fu3towz0;"Windgeschwindigkeit Turm; Zehnminutenmittel";Wind;aggregat;T;1;0..999.9;Float;km/h;1088
smn-tower;;fu3towz1;"Böenspitze (Sekundenböe) Turm; Maximum";Wind;aggregat;T;1;0..999.9;Float;km/h;1089
smn-tower;;ta1towd0;"Lufttemperatur; Tagesmittel; Instrument 1";Temperatur;aggregat;D;1;-99.9..99.9;Float;°C;779
smn-tower;;ta1towdn;"Lufttemperatur; Tagesminimum; Instrument 1";Temperatur;aggregat;D;1;-99.9..99.9;Float;°C;3206
smn-tower;;ta1towdx;"Lufttemperatur; Tagesmaximum; Instrument 1";Temperatur;aggregat;D;1;-99.9..99.9;Float;°C;3205
smn-tower;;ta1towh0;"Lufttemperatur; Stundenmittel; Instrument 1";Temperatur;aggregat;H;1;-99.9..99.9;Float;°C;772
smn-tower;;ta1towhn;"Lufttemperatur Turm; Stundenminimum";Temperatur;aggregat;H;1;-99.9..99.9;Float;°C;7999
smn-tower;;ta1towhx;"Lufttemperatur Turm; Stundenmaximum";Temperatur;aggregat;H;1;-99.9..99.9;Float;°C;8000
smn-tower;;ta1towm0;"Lufttemperatur; Monatsmittel; Instrument 1";Temperatur;aggregat;M;1;-99.9..99.9;Float;°C;3207
smn-tower;;ta1towmn;"Lufttemperatur; Monatsminimum; Instrument 1";Temperatur;aggregat;M;1;-99.9..99.9;Float;°C;3209
smn-tower;;ta1towmx;"Lufttemperatur; Monatsmaximum; Instrument 1";Temperatur;aggregat;M;1;-99.9..99.9;Float;°C;3208
smn-tower;;ta1tows0;Lufttemperatur Instrument 1;Temperatur;originalwert;T;1;-99.9..99.9;Float;°C;111
smn-tower;;ta1towy0;"Lufttemperatur; Jahresmittel; Instrument 1";Temperatur;aggregat;Y;1;-99.9..99.9;Float;°C;3210
smn-tower;;ta1towyn;"Lufttemperatur; Jahresminimum; Instrument 1";Temperatur;aggregat;Y;1;-99.9..99.9;Float;°C;3212
smn-tower;;ta1towyx;"Lufttemperatur; Jahresmaximum; Instrument 1";Temperatur;aggregat;Y;1;-99.9..99.9;Float;°C;3211
smn-tower;;tdetowh0;"Taupunkt Turm; Stundenmittel";Feuchte;aggregat;H;1;-99.9..99.9;Float;°C;8003
smn-tower;;tdetows0;Taupunkt Turm;Feuchte;originalwert;T;1;-99.9..99.9;Float;°C;569
smn-tower;;uretowd0;"Relative Luftfeuchtigkeit Turm; Tagesmittel";Feuchte;aggregat;D;1;0..999.9;Float;%;8002
smn-tower;;uretowh0;"Relative Luftfeuchtigkeit Turm; Stundenmittel";Feuchte;aggregat;H;1;0..999.9;Float;%;8001
smn-tower;;uretows0;"Relative Luftfeuchtigkeit Turm; Momentanwert";Feuchte;originalwert;T;1;0..999.9;Float;%;764
tot;;rre250c0;"Niederschlag; Jahressumme Hydrologisches Jahr";Niederschlag;originalwert;Y;0;0..9999;Integer;mm;176
