station;termin;nat_abbr;dk1towh0;fu3towh0;fu3towh1;gre000h0;sre000h0;ta1towh0;ta1towhn;ta1towhx;tdetowh0;uretowh0
392;20230314200000;UEB;245;49.7;66.6;3;0;1.8;1.6;1.9;-1.2;80.7
392;20230314210000;UEB;234;46.4;56.9;4;0;1.5;1.4;1.7;-1.0;83.5
392;20230314220000;UEB;236;49.3;66.2;4;0;1.3;0.9;1.6;-1.5;82.5
392;20230314230000;UEB;241;55.4;75.2;4;0;0.5;0.1;1.0;-0.5;92.7
392;20230315000000;UEB;254;45.4;64.4;4;0;0.0;-0.1;0.1;-0.8;94.7
392;20230315010000;UEB;270;35.6;47.5;4;0;-0.3;-0.6;0.1;-1.1;94.3
392;20230315020000;UEB;282;31.0;45.7;4;0;-0.8;-1.1;-0.6;-1.9;92.1
392;20230315030000;UEB;298;26.6;36.7;3;0;-1.4;-1.6;-1.2;-3.8;83.7
392;20230315040000;UEB;296;21.2;25.9;3;0;-1.7;-1.9;-1.5;-5.6;75.5
392;20230315050000;UEB;300;16.2;20.9;3;0;-1.8;-2.0;-1.7;-5.4;76.6
392;20230315060000;UEB;263;17.6;22.7;7;0;-1.9;-2.0;-1.9;-3.5;88.6
392;20230315070000;UEB;254;16.9;20.2;114;54;-1.8;-1.9;-1.6;-4.1;83.9
392;20230315080000;UEB;228;13.7;16.2;317;60;-1.6;-1.9;-1.4;-4.6;80.2
392;20230315090000;UEB;220;17.6;25.9;475;55;-1.3;-1.7;-1.0;-3.8;83.0
392;20230315100000;UEB;229;20.5;31.7;473;37;-0.5;-0.7;-0.1;-5.2;71.0
392;20230315110000;UEB;237;22.0;36.0;669;57;0.4;0.1;0.6;-7.3;56.3
392;20230315120000;UEB;240;20.2;33.5;685;52;1.0;0.6;1.3;-6.6;56.7
392;20230315130000;UEB;242;25.2;41.8;568;46;1.5;1.2;1.8;-8.6;47.2
392;20230315140000;UEB;254;21.2;35.6;398;27;2.0;1.7;2.2;-7.9;47.9
392;20230315150000;UEB;254;14.4;28.1;218;10;2.1;2.0;2.2;-6.5;52.7
392;20230315160000;UEB;288;14.8;21.6;118;0;2.3;2.3;2.4;-6.9;50.4
392;20230315170000;UEB;299;15.8;23.8;98;26;2.4;2.2;2.8;-6.3;52.6
392;20230315180000;UEB;313;18.7;22.0;15;0;1.9;1.8;2.0;-6.2;54.8
392;20230315190000;UEB;311;18.7;20.9;4;0;1.9;1.7;2.0;-6.8;52.6
392;20230315200000;UEB;302;14.4;17.3;4;0;2.1;2.1;2.1;-7.8;47.9
392;20230315210000;UEB;326;8.3;12.2;4;0;1.8;1.5;2.1;-7.9;48.5
392;20230315220000;UEB;75;8.6;15.1;4;0;1.5;1.5;1.5;-7.2;52.1
392;20230315230000;UEB;87;15.8;18.4;4;0;1.4;1.3;1.5;-6.9;54.0
392;20230316000000;UEB;77;17.6;19.4;4;0;1.2;1.1;1.3;-6.8;55.1
392;20230316010000;UEB;86;16.9;19.4;4;0;1.0;0.9;1.1;-6.9;55.7
392;20230316020000;UEB;107;18.7;21.6;4;0;0.8;0.6;1.0;-6.9;56.1
392;20230316030000;UEB;102;20.5;25.6;4;0;0.9;0.8;1.0;-7.1;54.8
392;20230316040000;UEB;104;28.4;42.1;4;0;1.1;0.9;1.4;-8.0;50.9
392;20230316050000;UEB;104;28.8;35.6;4;0;1.0;0.9;1.0;-7.9;51.7
392;20230316060000;UEB;100;25.6;34.2;12;4;1.1;0.9;1.5;-8.4;48.9
392;20230316070000;UEB;106;28.4;37.4;123;55;1.2;0.9;1.5;-9.2;45.8
392;20230316080000;UEB;107;24.8;34.9;306;60;1.6;1.3;1.7;-10.1;41.6
392;20230316090000;UEB;145;9.7;23.0;456;56;1.3;0.5;1.9;-8.2;49.9
392;20230316100000;UEB;198;3.6;10.8;570;60;0.9;0.4;1.3;-4.6;66.9
392;20230316110000;UEB;86;6.1;15.5;625;60;1.9;1.3;2.4;-4.6;62.1
392;20230316120000;UEB;141;3.6;10.8;640;60;3.5;2.9;4.1;-5.7;50.8
392;20230316130000;UEB;191;4.3;18.0;694;60;5.3;4.7;6.0;-4.9;47.8
392;20230316140000;UEB;151;5.0;15.8;621;60;6.0;5.4;6.7;-5.3;44.2
392;20230316150000;UEB;210;6.1;18.0;457;60;6.9;6.1;7.5;-5.5;40.9
392;20230316160000;UEB;236;8.6;16.9;272;54;7.8;7.5;8.1;-6.1;36.8
392;20230316170000;UEB;210;4.0;9.4;72;0;7.3;7.2;7.4;-4.5;42.8
392;20230316180000;UEB;146;4.3;11.5;18;5;8.5;7.6;9.4;-9.4;29.0
392;20230316190000;UEB;134;10.1;18.4;3;0;9.4;9.0;9.7;-15.4;15.9
392;20230316200000;UEB;120;18.0;22.7;3;0;9.8;9.5;9.9;-17.7;12.7
392;20230316210000;UEB;127;12.6;21.6;3;0;9.9;9.2;10.3;-12.9;19.1
392;20230316220000;UEB;158;6.1;16.2;3;0;10.5;10.4;10.7;-8.5;25.4
392;20230316230000;UEB;170;8.3;14.8;4;0;9.7;9.0;10.5;-8.2;27.4
392;20230317000000;UEB;162;5.8;14.4;3;0;10.0;9.5;10.2;-7.8;27.8
392;20230317010000;UEB;168;8.6;14.4;3;0;9.5;9.2;10.0;-7.5;29.2
392;20230317020000;UEB;193;8.6;16.2;4;0;8.8;8.3;9.6;-6.9;32.4
392;20230317030000;UEB;211;19.1;23.8;3;0;8.8;8.4;9.6;-6.8;32.5
392;20230317040000;UEB;247;20.9;26.3;3;0;8.6;8.2;8.8;-5.5;36.2
392;20230317050000;UEB;251;24.8;27.7;4;0;7.9;7.6;8.2;-4.1;42.3
392;20230317060000;UEB;249;28.1;32.4;7;0;8.2;7.8;8.8;-4.0;41.7
392;20230317070000;UEB;248;25.6;35.3;124;36;8.8;8.2;9.3;-4.0;40.3
392;20230317080000;UEB;249;25.9;33.1;265;58;9.0;7.5;9.5;-4.2;39.5
392;20230317090000;UEB;246;26.3;35.6;446;60;8.6;7.4;9.4;-3.9;41.4
392;20230317100000;UEB;247;29.5;37.1;558;59;7.5;6.8;8.5;-3.0;47.5
392;20230317110000;UEB;246;16.9;30.6;507;2;7.7;7.3;8.5;-2.0;50.4
392;20230317120000;UEB;229;13.7;22.0;589;27;8.2;7.8;8.8;-1.3;51.2
392;20230317130000;UEB;233;15.5;24.8;635;59;9.2;9.0;9.4;-0.5;50.5
392;20230317140000;UEB;241;22.7;33.5;477;25;10.0;9.5;10.3;-0.7;47.5
392;20230317150000;UEB;253;23.8;33.8;339;15;11.2;10.4;12.0;-1.5;41.3
392;20230317160000;UEB;240;22.3;36.4;215;22;11.6;11.1;12.3;-0.8;42.4
