station;termin;nat_abbr;rre150m0
536;19170701000000;AIR;245.0
536;19170801000000;AIR;280.1
536;19170901000000;AIR;68.8
536;19171001000000;AIR;301.6
536;19171101000000;AIR;42.8
536;19171201000000;AIR;49.7
536;19180101000000;AIR;58.9
536;19180201000000;AIR;9.1
536;19180301000000;AIR;136.0
536;19180401000000;AIR;219.0
536;19180501000000;AIR;98.4
536;19180601000000;AIR;405.4
536;19180701000000;AIR;88.1
536;19180801000000;AIR;100.2
536;19180901000000;AIR;332.7
536;19181001000000;AIR;145.2
536;19181101000000;AIR;93.1
536;19181201000000;AIR;259.3
536;19190101000000;AIR;211.6
536;19190201000000;AIR;54.2
536;19190301000000;AIR;77.6
536;19190401000000;AIR;132.2
536;19190501000000;AIR;10.5
536;19190601000000;AIR;55.5
536;19190701000000;AIR;137.2
536;19190801000000;AIR;58.2
536;19190901000000;AIR;210.0
536;19191001000000;AIR;111.9
536;19191101000000;AIR;192.8
536;19191201000000;AIR;166.8
536;19200101000000;AIR;154.6
536;19200201000000;AIR;11.5
536;19200301000000;AIR;209.0
536;19200401000000;AIR;241.8
536;19200501000000;AIR;116.6
536;19200601000000;AIR;64.9
536;19200701000000;AIR;217.3
536;19200801000000;AIR;54.8
536;19200901000000;AIR;365.9
536;19201001000000;AIR;107.9
536;19201101000000;AIR;80.5
536;19201201000000;AIR;38.7
536;19210101000000;AIR;58.2
536;19210201000000;AIR;28.7
536;19210301000000;AIR;41.7
536;19210401000000;AIR;78.2
536;19210501000000;AIR;76.2
536;19210601000000;AIR;73.6
536;19210701000000;AIR;99.4
536;19210801000000;AIR;308.7
536;19210901000000;AIR;77.6
536;19211001000000;AIR;6.2
536;19211101000000;AIR;66.1
536;19211201000000;AIR;4.7
536;19220101000000;AIR;138.4
536;19220201000000;AIR;41.3
536;19220301000000;AIR;252.7
536;19220401000000;AIR;165.2
536;19220501000000;AIR;67.1
536;19220601000000;AIR;114.6
536;19220701000000;AIR;172.6
536;19220801000000;AIR;279.0
536;19220901000000;AIR;251.9
536;19221001000000;AIR;133.2
536;19221101000000;AIR;49.0
536;19221201000000;AIR;174.7
536;19230101000000;AIR;3.8
536;19230201000000;AIR;18.3
536;19230301000000;AIR;10.8
536;19230401000000;AIR;168.1
536;19230501000000;AIR;344.6
536;19230601000000;AIR;13.2
536;19230701000000;AIR;40.8
536;19230801000000;AIR;169.9
536;19230901000000;AIR;188.0
536;19231001000000;AIR;465.2
536;19231101000000;AIR;276.6
536;19231201000000;AIR;180.0
536;19240101000000;AIR;32.3
536;19240201000000;AIR;42.0
536;19240301000000;AIR;86.3
536;19240401000000;AIR;71.2
536;19240501000000;AIR;323.0
536;19240601000000;AIR;111.1
536;19240701000000;AIR;133.7
536;19240801000000;AIR;249.6
536;19240901000000;AIR;279.3
536;19241001000000;AIR;218.1
536;19241101000000;AIR;62.1
536;19241201000000;AIR;85.7
536;19250101000000;AIR;8.2
536;19250201000000;AIR;328.8
536;19250301000000;AIR;120.5
536;19250401000000;AIR;77.9
536;19250501000000;AIR;192.1
536;19250601000000;AIR;5.0
536;19250701000000;AIR;178.0
536;19250801000000;AIR;241.5
536;19250901000000;AIR;344.0
536;19251001000000;AIR;116.9
536;19251101000000;AIR;70.0
536;19251201000000;AIR;143.1
