station;termin;nat_abbr;fkl010d0;fkl010d1;fu3010d0;fu3010d1;gre000d0;oli000d0;pp0qffd0;pp0qnhd0;ppz700d0;ppz850d0;prestad0;pva200d0;rre150d0;sre000d0;tre005d0;tre005dn;tre005dx;tre200d0;tre200dn;tre200dx;ure200d0;wcc006d0
75;20230420000000;BAS;1.7;6.2;6.1;22.3;103;296;1013.8;1013.0;;;975.4;7.8;2.1;118;5.5;-0.9;15.0;6.0;4.0;9.0;83.4;
75;20230421000000;BAS;2.1;8.7;7.6;31.3;162;297;1011.9;1011.5;;;974.0;8.8;0.2;299;8.7;-2.7;20.4;8.9;1.7;13.1;77.6;
75;20230422000000;BAS;1.9;13.7;6.8;49.3;105;336;1011.3;1011.5;;;974.0;10.1;0.6;25;11.7;2.1;23.9;13.0;5.7;21.4;68.8;
75;20230423000000;BAS;2.4;17.4;8.6;62.6;213;337;1009.8;1010.1;;;972.6;10.7;1.1;298;14.5;8.4;26.4;13.8;10.4;20.7;70.3;
75;20230424000000;BAS;3.5;14.9;12.6;53.6;222;316;1012.4;1012.3;;;974.8;8.5;3.9;293;11.3;5.6;19.6;10.8;7.4;14.3;66.6;
75;20230425000000;BAS;2.1;11.2;7.6;40.3;162;311;1015.1;1014.6;;;977.0;8.8;2.3;165;7.9;0.6;18.9;8.1;5.0;13.0;82.3;
75;20230426000000;BAS;1.1;4.9;4.0;17.6;223;321;1017.9;1017.6;;;979.9;8.8;0.4;171;11.0;1.9;22.9;9.5;4.5;15.0;76.5;
75;20230427000000;BAS;1.0;5.0;3.6;18.0;252;328;1017.1;1017.4;;;979.7;10.1;1.6;461;15.2;7.3;26.9;14.2;8.8;19.7;65.4;
75;20230428000000;BAS;1.6;7.0;5.8;25.2;89;373;1015.3;1015.6;;;978.0;14.8;10.2;1;14.4;10.6;22.9;14.6;11.0;19.9;89.1;
75;20230429000000;BAS;1.8;8.6;6.5;31.0;254;341;1016.4;1016.8;;;979.2;13.2;0.0;431;16.5;7.5;28.1;15.0;10.8;19.7;78.7;
75;20230430000000;BAS;1.2;4.7;4.3;16.9;131;347;1017.3;1017.5;;;979.8;10.9;6.9;6;13.9;5.8;22.9;13.5;8.8;17.7;71.8;
75;20230501000000;BAS;1.8;8.8;6.5;31.7;137;352;1016.5;1016.6;;;978.9;11.9;5.6;28;13.1;9.2;21.3;12.9;10.3;17.3;80.8;
75;20230502000000;BAS;1.5;9.9;5.4;35.6;269;314;1022.1;1022.2;;;984.4;10.7;0.1;544;14.5;3.7;28.1;13.3;8.0;19.9;73.1;
75;20230503000000;BAS;1.9;9.9;6.8;35.6;310;286;1022.4;1022.5;;;984.6;9.6;0.0;732;14.4;3.3;28.6;13.4;5.8;21.1;65.4;
75;20230504000000;BAS;1.5;7.2;5.4;25.9;303;318;1018.1;1018.8;;;981.1;11.0;0.0;733;17.8;1.6;31.9;17.5;7.1;25.2;57.9;
75;20230505000000;BAS;1.4;23.2;5.0;83.5;178;360;1018.0;1018.6;;;980.9;14.5;13.7;282;17.3;9.9;31.5;16.7;14.2;24.0;77.6;
75;20230506000000;BAS;1.0;4.7;3.6;16.9;253;342;1016.5;1017.1;;;979.5;14.2;0.0;418;17.9;8.4;29.1;17.1;13.2;22.1;75.0;
75;20230507000000;BAS;1.7;6.8;6.1;24.5;166;357;1017.4;1017.9;;;980.2;14.4;5.6;202;15.7;6.6;25.8;15.5;11.5;19.6;82.6;
75;20230508000000;BAS;0.9;4.8;3.2;17.3;106;365;1020.8;1021.3;;;983.5;15.1;1.0;32;15.3;8.7;24.0;15.5;12.2;19.1;86.5;
75;20230509000000;BAS;1.5;7.8;5.4;28.1;170;360;1014.9;1015.4;;;977.7;14.4;14.7;203;16.0;7.0;27.7;15.3;11.7;21.3;83.9;
75;20230510000000;BAS;2.7;10.6;9.7;38.2;212;336;1015.5;1015.7;;;978.0;11.0;0.5;265;13.9;9.4;24.2;13.2;11.0;16.9;72.9;
75;20230511000000;BAS;1.4;6.7;5.0;24.1;147;344;1015.2;1015.2;;;977.6;11.4;3.6;97;12.6;7.8;21.3;11.9;10.1;15.2;82.1;
75;20230512000000;BAS;1.2;7.8;4.3;28.1;216;341;1014.2;1014.4;;;976.8;11.8;0.0;237;14.8;8.1;28.2;13.1;9.7;18.0;79.4;
75;20230513000000;BAS;1.1;4.8;4.0;17.3;108;353;1016.9;1017.0;;;979.3;12.1;0.1;15;13.4;6.3;22.2;12.6;10.5;16.8;83.6;
75;20230514000000;BAS;1.3;7.8;4.7;28.1;189;343;1015.3;1015.4;;;977.8;11.8;0.5;74;14.3;4.9;25.4;12.9;8.9;18.1;80.5;
75;20230515000000;BAS;1.3;9.0;4.7;32.4;206;345;1014.1;1014.2;;;976.6;11.8;1.8;174;14.2;5.2;28.4;13.2;9.0;19.2;79.4;
75;20230516000000;BAS;2.2;12.1;7.9;43.6;27;349;1017.1;1016.9;;;979.2;11.0;4.5;0;9.6;7.3;11.4;10.2;8.8;11.2;88.2;
75;20230517000000;BAS;1.9;10.8;6.8;38.9;225;308;1022.1;1022.0;;;984.2;8.3;0.0;309;12.1;3.2;24.2;11.2;6.5;15.5;64.0;
75;20230518000000;BAS;1.6;8.5;5.8;30.6;197;318;1021.3;1021.2;;;983.4;8.5;0.0;274;12.3;0.0;24.3;11.8;4.5;16.0;62.8;
75;20230519000000;BAS;1.4;7.0;5.0;25.2;151;346;1019.2;1019.4;;;981.6;10.1;0.0;189;14.2;8.7;24.7;13.6;10.0;17.0;64.7;
75;20230520000000;BAS;1.1;3.5;4.0;12.6;125;360;1014.8;1015.2;;;977.5;12.5;0.0;12;15.1;11.1;25.4;14.6;11.7;18.3;75.4;
75;20230521000000;BAS;1.3;5.7;4.7;20.5;289;340;1012.1;1012.9;;;975.4;14.7;0.0;528;19.5;10.0;31.9;18.2;12.1;25.2;72.4;
75;20230522000000;BAS;1.6;6.8;5.8;24.5;295;345;1013.5;1014.5;;;976.9;15.4;2.2;606;20.3;8.4;34.1;19.4;13.0;26.6;71.2;
75;20230523000000;BAS;2.4;11.2;8.6;40.3;247;357;1016.9;1017.7;;;979.9;14.8;0.0;345;18.9;10.2;30.1;17.8;13.9;22.3;73.7;
75;20230524000000;BAS;1.8;6.6;6.5;23.8;94;347;1019.5;1019.7;;;981.9;10.6;0.0;93;13.0;5.3;22.4;13.1;10.8;16.5;70.4;
75;20230525000000;BAS;1.1;5.3;4.0;19.1;256;346;1020.6;1021.1;;;983.2;11.2;0.0;272;17.3;6.2;28.9;15.8;9.9;21.4;61.7;
75;20230526000000;BAS;1.8;8.6;6.5;31.0;330;327;1022.2;1023.0;;;985.1;12.8;0.0;762;19.4;7.9;31.7;18.1;11.2;24.5;63.6;
75;20230527000000;BAS;1.6;7.2;5.8;25.9;335;319;1019.5;1020.3;;;982.5;12.7;0.0;817;19.1;7.1;32.1;18.2;11.1;25.1;62.5;
75;20230528000000;BAS;1.4;7.1;5.0;25.6;333;315;1015.6;1016.5;;;978.8;11.7;0.0;789;19.0;6.6;32.7;18.6;10.6;25.7;57.6;
75;20230529000000;BAS;1.8;9.2;6.5;33.1;329;310;1016.0;1016.9;;;979.2;10.3;0.0;797;18.4;5.3;33.3;18.6;9.8;26.9;52.1;
75;20230530000000;BAS;1.8;9.2;6.5;33.1;315;325;1017.8;1018.6;;;980.9;12.0;0.0;658;18.9;6.5;32.3;18.4;10.7;25.3;58.9;
75;20230531000000;BAS;1.9;10.0;6.8;36.0;341;318;1016.7;1017.6;;;979.9;10.5;0.0;854;19.1;5.4;33.6;19.0;10.1;26.9;49.5;
75;20230601000000;BAS;1.6;8.5;5.8;30.6;335;335;1015.8;1016.9;;;979.3;11.9;0.0;802;21.2;7.6;33.8;20.2;12.0;26.7;52.1;
75;20230602000000;BAS;2.2;10.6;7.9;38.2;344;325;1014.7;1015.7;;;978.0;11.8;0.0;839;20.5;9.7;32.8;19.2;13.1;25.9;53.7;
