station;termin;nat_abbr;hns000m0;hto000m0;rre150m0
593;20230101000000;PON;25;21;22.2
593;20230201000000;PON;2;15;1.7
593;20230301000000;PON;22;1;46.7
593;20230401000000;PON;42;2;50.6
593;20230501000000;PON;4;0;84.2
593;20230601000000;PON;0;0;51.8
