station;termin;nat_abbr;gre000m0;sre000m0;ta1towm0;ta1towmn;ta1towmx
392;20200601000000;UEB;217;11011;13.4;6.3;22.2
392;20200701000000;UEB;269;17506;17.2;9.9;28.4
392;20200801000000;UEB;213;13493;17.5;5.3;27.1
392;20200901000000;UEB;176;12568;13.9;2.2;23.7
392;20201001000000;UEB;90;5437;7.5;0.8;18.1
392;20201101000000;UEB;77;8534;6.5;-5.0;17.5
392;20201201000000;UEB;36;2852;1.6;-6.1;10.6
392;20210101000000;UEB;41;2007;-1.8;-8.6;8.8
392;20210201000000;UEB;89;6253;3.3;-13.2;15.0
392;20210301000000;UEB;148;9795;3.2;-6.1;17.8
392;20210401000000;UEB;224;12666;;;
392;20210501000000;UEB;201;9822;7.6;0.8;20.9
392;20210601000000;UEB;260;14084;16.3;8.5;25.9
392;20210701000000;UEB;201;10201;15.3;8.4;24.0
392;20210801000000;UEB;180;9010;14.3;8.5;25.9
392;20210901000000;UEB;182;12715;14.2;6.0;21.0
392;20211001000000;UEB;119;9824;8.7;2.5;19.9
392;20211101000000;UEB;52;4204;2.8;-4.6;13.6
392;20211201000000;UEB;44;3815;1.4;-7.0;18.1
392;20220101000000;UEB;68;6530;0.7;-7.0;14.4
392;20220201000000;UEB;100;7163;1.9;-4.9;11.5
392;20220301000000;UEB;181;14566;5.4;-6.7;14.1
392;20220401000000;UEB;203;11438;6.0;-5.3;17.6
392;20220501000000;UEB;242;13509;13.3;3.8;25.0
392;20220601000000;UEB;265;15732;17.2;8.3;28.7
392;20220701000000;UEB;295;19706;18.5;8.8;28.8
392;20220801000000;UEB;239;16649;18.0;12.0;29.4
392;20220901000000;UEB;151;8550;11.8;4.0;22.9
392;20221001000000;UEB;105;7798;13.5;5.9;23.3
392;20221101000000;UEB;60;3565;5.9;-1.6;17.1
392;20221201000000;UEB;39;2471;1.5;-9.0;14.2
