station;termin;nat_abbr;dkl010z0;fkl010z0;fkl010z1;fu3010z0;fu3010z1;fve010z0;gre000z0;oli000z0;pp0qffs0;pp0qnhs0;ppz700s0;ppz850s0;prestas0;pva200s0;rre150z0;sre000z0;tde200s0;tre005s0;tre200s0;ure200s0;wcc006s1
75;20230501195000;BAS;172;2.2;3.3;7.9;11.9;2.2;0;358;1017.4;1017.5;;;979.8;11.1;0.0;0;8.5;11.4;13.0;74.1;
75;20230501200000;BAS;274;0.6;1.8;2.2;6.5;0.3;0;357;1017.6;1017.7;;;980.0;11.6;0.0;0;9.1;11.4;12.7;78.9;
75;20230501201000;BAS;30;0.5;1.0;1.8;3.6;0.5;0;358;1017.7;1017.9;;;980.2;10.8;0.0;0;8.1;11.3;13.7;69.1;
75;20230501202000;BAS;97;0.6;1.2;2.2;4.3;0.6;0;358;1018.0;1018.1;;;980.4;11.6;0.0;0;9.1;11.4;12.9;77.9;
75;20230501203000;BAS;142;1.0;2.6;3.6;9.4;1.0;0;361;1018.1;1018.2;;;980.5;11.2;0.0;0;8.6;11.3;12.8;75.7;
75;20230501204000;BAS;189;2.3;3.0;8.3;10.8;2.0;0;362;1018.3;1018.3;;;980.6;11.5;0.0;0;9.1;11.5;12.6;79.0;
75;20230501205000;BAS;279;1.9;3.6;6.8;13.0;1.8;0;364;1018.5;1018.5;;;980.8;11.8;0.4;0;9.4;11.0;12.6;80.7;
75;20230501210000;BAS;263;1.7;2.5;6.1;9.0;1.7;0;364;1018.6;1018.5;;;980.8;11.2;0.5;0;8.7;10.5;11.8;81.2;
75;20230501211000;BAS;254;1.4;3.7;5.0;13.3;1.3;0;360;1018.7;1018.6;;;980.9;11.2;0.1;0;8.7;10.2;11.6;82.3;
75;20230501212000;BAS;244;1.4;2.5;5.0;9.0;1.3;0;360;1018.8;1018.7;;;981.0;11.6;0.0;0;9.1;10.1;11.4;85.9;
75;20230501213000;BAS;20;0.4;0.9;1.4;3.2;0.1;0;360;1019.1;1018.9;;;981.2;12.0;0.2;0;9.7;10.3;11.1;91.0;
75;20230501214000;BAS;250;0.5;1.7;1.8;6.1;0.3;0;361;1019.2;1019.1;;;981.3;11.5;0.3;0;9.0;10.3;11.4;85.0;
75;20230501215000;BAS;259;1.6;3.2;5.8;11.5;1.4;0;360;1019.2;1019.1;;;981.3;11.7;0.3;0;9.3;10.3;11.2;88.2;
