station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20200511000000;UEB;2.7;26.3;58.0;66;28;8.3;-0.6;17.0;83.1
392;20200512000000;UEB;2.7;30.6;63.0;188;125;2.5;-1.1;5.5;83.4
392;20200513000000;UEB;1.0;17.3;43.6;98;7;5.9;4.5;9.4;94.2
392;20200514000000;UEB;4.6;32.0;57.2;61;0;5.0;3.8;6.2;97.2
392;20200515000000;UEB;3.5;29.5;45.4;91;34;6.0;4.6;7.5;89.6
392;20200516000000;UEB;2.5;23.4;42.8;288;472;8.8;4.7;12.1;71.2
392;20200517000000;UEB;2.4;24.8;45.4;357;867;12.7;10.0;15.3;48.5
392;20200518000000;UEB;2.7;18.0;48.2;354;867;13.8;9.6;17.4;49.7
392;20200519000000;UEB;4.0;29.5;47.9;325;672;15.0;11.6;18.2;51.1
392;20200520000000;UEB;3.0;28.1;49.3;284;639;14.7;11.8;17.2;56.3
392;20200521000000;UEB;1.3;15.8;34.6;348;816;16.4;13.0;18.9;49.5
392;20200522000000;UEB;-1.6;16.9;37.1;255;433;18.3;15.4;21.4;48.5
392;20200523000000;UEB;0.0;25.2;63.7;112;153;11.9;5.4;18.7;80.2
392;20200524000000;UEB;0.0;16.9;36.4;294;500;9.2;5.8;12.4;65.8
392;20200525000000;UEB;3.7;24.8;42.5;326;738;10.8;8.1;13.2;63.1
392;20200526000000;UEB;3.2;31.0;49.3;334;817;11.3;8.9;14.0;59.4
392;20200527000000;UEB;2.6;24.8;49.7;373;888;12.1;7.0;15.7;50.3
392;20200528000000;UEB;2.3;22.7;61.2;293;490;13.3;9.5;16.0;47.5
392;20200529000000;UEB;4.7;40.0;65.5;362;864;9.7;6.0;13.1;61.0
392;20200530000000;UEB;4.1;33.5;52.9;332;806;9.8;6.3;13.1;61.3
392;20200531000000;UEB;3.5;32.0;55.8;359;893;10.5;6.0;14.1;56.5
392;20200601000000;UEB;2.5;25.9;51.8;367;896;13.6;8.5;18.4;52.5
392;20200602000000;UEB;1.0;13.7;42.5;368;889;16.2;11.6;19.3;44.7
392;20200603000000;UEB;-3.6;21.6;68.4;306;585;16.3;11.3;19.7;50.1
392;20200604000000;UEB;-6.9;36.4;64.1;44;0;10.2;8.0;11.6;91.9
392;20200605000000;UEB;-5.7;43.6;80.3;105;39;8.8;6.4;10.9;86.3
392;20200606000000;UEB;-2.4;29.2;76.7;140;53;11.2;8.5;13.8;84.1
392;20200607000000;UEB;-0.4;10.4;45.7;91;5;7.7;6.3;9.4;84.7
