station;termin;nat_abbr;rre150h0
536;20230101000000;AIR;0.2
536;20230101010000;AIR;0.0
536;20230101020000;AIR;0.0
536;20230101030000;AIR;0.0
536;20230101040000;AIR;0.0
536;20230101050000;AIR;0.0
536;20230101060000;AIR;0.1
536;20230101070000;AIR;0.0
536;20230101080000;AIR;0.1
536;20230101090000;AIR;0.0
536;20230101100000;AIR;0.0
536;20230101110000;AIR;0.0
536;20230101120000;AIR;0.0
536;20230101130000;AIR;0.0
536;20230101140000;AIR;0.0
536;20230101150000;AIR;0.1
536;20230101160000;AIR;0.0
536;20230101170000;AIR;0.0
536;20230101180000;AIR;0.0
536;20230101190000;AIR;0.0
536;20230101200000;AIR;0.0
536;20230101210000;AIR;0.3
536;20230101220000;AIR;0.6
536;20230101230000;AIR;0.4
536;20230102000000;AIR;0.8
536;20230102010000;AIR;0.7
536;20230102020000;AIR;1.1
536;20230102030000;AIR;0.1
536;20230102040000;AIR;0.3
536;20230102050000;AIR;0.7
536;20230102060000;AIR;0.6
536;20230102070000;AIR;0.1
536;20230102080000;AIR;0.0
536;20230102090000;AIR;0.0
536;20230102100000;AIR;0.1
536;20230102110000;AIR;0.0
536;20230102120000;AIR;0.0
536;20230102130000;AIR;0.1
536;20230102140000;AIR;0.1
536;20230102150000;AIR;0.0
536;20230102160000;AIR;0.3
536;20230102170000;AIR;0.1
536;20230102180000;AIR;0.0
536;20230102190000;AIR;0.1
536;20230102200000;AIR;0.1
536;20230102210000;AIR;0.1
536;20230102220000;AIR;0.0
536;20230102230000;AIR;0.2
536;20230103000000;AIR;0.0
536;20230103010000;AIR;0.0
536;20230103020000;AIR;0.0
536;20230103030000;AIR;0.1
536;20230103040000;AIR;0.0
536;20230103050000;AIR;0.0
536;20230103060000;AIR;0.0
536;20230103070000;AIR;0.0
536;20230103080000;AIR;0.1
536;20230103090000;AIR;0.0
536;20230103100000;AIR;0.0
536;20230103110000;AIR;0.0
536;20230103120000;AIR;0.0
536;20230103130000;AIR;0.0
536;20230103140000;AIR;0.0
536;20230103150000;AIR;0.0
536;20230103160000;AIR;0.0
536;20230103170000;AIR;0.0
536;20230103180000;AIR;0.0
536;20230103190000;AIR;0.0
536;20230103200000;AIR;0.0
536;20230103210000;AIR;0.0
536;20230103220000;AIR;0.0
536;20230103230000;AIR;0.0
536;20230104000000;AIR;0.0
536;20230104010000;AIR;0.0
536;20230104020000;AIR;0.0
536;20230104030000;AIR;0.0
536;20230104040000;AIR;0.0
536;20230104050000;AIR;0.0
536;20230104060000;AIR;0.0
536;20230104070000;AIR;0.0
536;20230104080000;AIR;0.0
536;20230104090000;AIR;0.0
536;20230104100000;AIR;0.0
536;20230104110000;AIR;0.0
536;20230104120000;AIR;0.0
536;20230104130000;AIR;0.0
536;20230104140000;AIR;0.0
536;20230104150000;AIR;0.0
536;20230104160000;AIR;0.0
536;20230104170000;AIR;0.0
536;20230104180000;AIR;0.0
536;20230104190000;AIR;0.0
536;20230104200000;AIR;0.0
536;20230104210000;AIR;0.0
536;20230104220000;AIR;0.0
536;20230104230000;AIR;0.0
536;20230105000000;AIR;0.0
536;20230105010000;AIR;0.0
536;20230105020000;AIR;0.0
536;20230105030000;AIR;0.0
536;20230105040000;AIR;0.0
536;20230105050000;AIR;0.0
536;20230105060000;AIR;0.0
536;20230105070000;AIR;0.0
536;20230105080000;AIR;0.0
536;20230105090000;AIR;0.0
536;20230105100000;AIR;0.0
536;20230105110000;AIR;0.0
536;20230105120000;AIR;0.0
536;20230105130000;AIR;0.0
536;20230105140000;AIR;0.0
536;20230105150000;AIR;0.0
536;20230105160000;AIR;0.0
536;20230105170000;AIR;0.0
536;20230105180000;AIR;0.0
536;20230105190000;AIR;0.0
536;20230105200000;AIR;0.0
536;20230105210000;AIR;0.0
536;20230105220000;AIR;0.0
536;20230105230000;AIR;0.0
536;20230106000000;AIR;0.0
536;20230106010000;AIR;0.0
536;20230106020000;AIR;0.0
536;20230106030000;AIR;0.0
536;20230106040000;AIR;0.0
536;20230106050000;AIR;0.0
536;20230106060000;AIR;0.0
