station;termin;nat_abbr;gre000m0;sre000m0;ta1towm0;ta1towmn;ta1towmx
392;20230101000000;UEB;38;2252;0.2;-7.2;13.1
392;20230201000000;UEB;98;7695;2.1;-8.4;12.1
392;20230301000000;UEB;115;6117;4.2;-4.9;15.5
392;20230401000000;UEB;153;5955;4.9;-5.6;14.0
392;20230501000000;UEB;198;9238;10.7;2.6;20.4
392;20230601000000;UEB;307;19544;17.3;10.7;25.9
