station;termin;nat_abbr;rre150h0
536;20210101000000;AIR;0.0
536;20210101010000;AIR;0.0
536;20210101020000;AIR;0.0
536;20210101030000;AIR;0.2
536;20210101040000;AIR;0.2
536;20210101050000;AIR;0.3
536;20210101060000;AIR;0.2
536;20210101070000;AIR;0.1
536;20210101080000;AIR;0.3
536;20210101090000;AIR;0.4
536;20210101100000;AIR;0.3
536;20210101110000;AIR;0.2
536;20210101120000;AIR;0.0
536;20210101130000;AIR;0.5
536;20210101140000;AIR;0.3
536;20210101150000;AIR;0.1
536;20210101160000;AIR;0.3
536;20210101170000;AIR;0.6
536;20210101180000;AIR;0.3
536;20210101190000;AIR;0.0
536;20210101200000;AIR;0.4
536;20210101210000;AIR;0.6
536;20210101220000;AIR;0.7
536;20210101230000;AIR;0.5
536;20210102000000;AIR;0.8
536;20210102010000;AIR;0.7
536;20210102020000;AIR;0.1
536;20210102030000;AIR;0.1
536;20210102040000;AIR;0.0
536;20210102050000;AIR;0.0
536;20210102060000;AIR;0.4
536;20210102070000;AIR;0.4
536;20210102080000;AIR;0.2
536;20210102090000;AIR;0.1
536;20210102100000;AIR;0.6
536;20210102110000;AIR;0.1
536;20210102120000;AIR;0.0
536;20210102130000;AIR;0.0
536;20210102140000;AIR;0.0
536;20210102150000;AIR;0.0
536;20210102160000;AIR;0.0
536;20210102170000;AIR;0.0
536;20210102180000;AIR;0.0
536;20210102190000;AIR;0.0
536;20210102200000;AIR;0.2
536;20210102210000;AIR;0.0
536;20210102220000;AIR;0.0
536;20210102230000;AIR;0.0
536;20210103000000;AIR;0.1
536;20210103010000;AIR;0.0
536;20210103020000;AIR;0.0
536;20210103030000;AIR;0.4
536;20210103040000;AIR;0.3
536;20210103050000;AIR;0.3
536;20210103060000;AIR;0.4
536;20210103070000;AIR;1.0
536;20210103080000;AIR;1.4
536;20210103090000;AIR;1.2
536;20210103100000;AIR;0.8
536;20210103110000;AIR;0.2
536;20210103120000;AIR;0.2
536;20210103130000;AIR;0.1
536;20210103140000;AIR;0.0
536;20210103150000;AIR;0.0
536;20210103160000;AIR;0.0
536;20210103170000;AIR;0.0
536;20210103180000;AIR;0.0
536;20210103190000;AIR;0.0
536;20210103200000;AIR;0.0
536;20210103210000;AIR;0.0
536;20210103220000;AIR;0.0
536;20210103230000;AIR;0.0
536;20210104000000;AIR;0.0
536;20210104010000;AIR;0.0
536;20210104020000;AIR;0.0
536;20210104030000;AIR;0.0
536;20210104040000;AIR;0.0
536;20210104050000;AIR;0.0
536;20210104060000;AIR;0.0
536;20210104070000;AIR;0.0
536;20210104080000;AIR;0.0
536;20210104090000;AIR;0.0
536;20210104100000;AIR;0.0
536;20210104110000;AIR;0.0
536;20210104120000;AIR;0.0
536;20210104130000;AIR;0.0
536;20210104140000;AIR;0.0
536;20210104150000;AIR;0.0
536;20210104160000;AIR;0.5
536;20210104170000;AIR;0.0
536;20210104180000;AIR;0.0
536;20210104190000;AIR;0.0
536;20210104200000;AIR;0.0
536;20210104210000;AIR;0.0
536;20210104220000;AIR;0.2
536;20210104230000;AIR;0.2
536;20210105000000;AIR;0.4
536;20210105010000;AIR;0.6
536;20210105020000;AIR;0.2
536;20210105030000;AIR;0.1
536;20210105040000;AIR;0.1
536;20210105050000;AIR;0.2
536;20210105060000;AIR;0.3
536;20210105070000;AIR;0.2
536;20210105080000;AIR;0.1
536;20210105090000;AIR;0.0
536;20210105100000;AIR;0.0
536;20210105110000;AIR;0.0
536;20210105120000;AIR;0.0
536;20210105130000;AIR;0.0
536;20210105140000;AIR;0.0
536;20210105150000;AIR;0.0
536;20210105160000;AIR;0.0
536;20210105170000;AIR;0.0
536;20210105180000;AIR;0.0
536;20210105190000;AIR;0.0
536;20210105200000;AIR;0.0
536;20210105210000;AIR;0.0
536;20210105220000;AIR;0.0
536;20210105230000;AIR;0.0
536;20210106000000;AIR;0.0
536;20210106010000;AIR;0.0
536;20210106020000;AIR;0.0
536;20210106030000;AIR;0.0
536;20210106040000;AIR;0.0
536;20210106050000;AIR;0.1
536;20210106060000;AIR;0.0
536;20210106070000;AIR;0.0
536;20210106080000;AIR;0.0
536;20210106090000;AIR;0.0
536;20210106100000;AIR;0.0
536;20210106110000;AIR;0.0
536;20210106120000;AIR;0.0
536;20210106130000;AIR;0.0
536;20210106140000;AIR;0.0
536;20210106150000;AIR;0.0
536;20210106160000;AIR;0.0
536;20210106170000;AIR;0.0
536;20210106180000;AIR;0.0
536;20210106190000;AIR;0.0
536;20210106200000;AIR;0.0
536;20210106210000;AIR;0.0
536;20210106220000;AIR;0.0
536;20210106230000;AIR;0.0
536;20210107000000;AIR;0.0
536;20210107010000;AIR;0.0
536;20210107020000;AIR;0.0
536;20210107030000;AIR;0.0
536;20210107040000;AIR;0.0
536;20210107050000;AIR;0.0
536;20210107060000;AIR;0.0
536;20210107070000;AIR;0.0
536;20210107080000;AIR;0.0
536;20210107090000;AIR;0.0
536;20210107100000;AIR;0.0
536;20210107110000;AIR;0.0
536;20210107120000;AIR;0.0
536;20210107130000;AIR;0.0
536;20210107140000;AIR;0.0
536;20210107150000;AIR;0.0
536;20210107160000;AIR;0.0
536;20210107170000;AIR;0.0
536;20210107180000;AIR;0.0
536;20210107190000;AIR;0.0
536;20210107200000;AIR;0.0
536;20210107210000;AIR;0.0
536;20210107220000;AIR;0.0
536;20210107230000;AIR;0.0
536;20210108000000;AIR;0.0
536;20210108010000;AIR;0.0
536;20210108020000;AIR;0.0
536;20210108030000;AIR;0.0
536;20210108040000;AIR;0.0
536;20210108050000;AIR;0.0
536;20210108060000;AIR;0.0
536;20210108070000;AIR;0.0
536;20210108080000;AIR;0.0
536;20210108090000;AIR;0.0
536;20210108100000;AIR;0.0
536;20210108110000;AIR;0.0
536;20210108120000;AIR;0.0
536;20210108130000;AIR;0.0
536;20210108140000;AIR;0.0
536;20210108150000;AIR;0.0
536;20210108160000;AIR;0.0
536;20210108170000;AIR;0.0
536;20210108180000;AIR;0.0
536;20210108190000;AIR;0.0
536;20210108200000;AIR;0.0
536;20210108210000;AIR;0.0
536;20210108220000;AIR;0.0
536;20210108230000;AIR;0.0
536;20210109000000;AIR;0.0
536;20210109010000;AIR;0.0
536;20210109020000;AIR;0.0
536;20210109030000;AIR;0.0
536;20210109040000;AIR;0.0
536;20210109050000;AIR;0.0
536;20210109060000;AIR;0.0
536;20210109070000;AIR;0.0
536;20210109080000;AIR;0.0
536;20210109090000;AIR;0.0
536;20210109100000;AIR;0.0
536;20210109110000;AIR;0.0
536;20210109120000;AIR;0.0
536;20210109130000;AIR;0.0
536;20210109140000;AIR;0.0
536;20210109150000;AIR;0.0
536;20210109160000;AIR;0.0
536;20210109170000;AIR;0.0
536;20210109180000;AIR;0.0
536;20210109190000;AIR;0.0
536;20210109200000;AIR;0.0
536;20210109210000;AIR;0.0
536;20210109220000;AIR;0.0
536;20210109230000;AIR;0.0
536;20210110000000;AIR;0.0
536;20210110010000;AIR;0.0
536;20210110020000;AIR;0.0
536;20210110030000;AIR;0.0
536;20210110040000;AIR;0.0
536;20210110050000;AIR;0.0
536;20210110060000;AIR;0.0
536;20210110070000;AIR;0.0
536;20210110080000;AIR;0.0
536;20210110090000;AIR;0.0
536;20210110100000;AIR;0.0
536;20210110110000;AIR;0.0
536;20210110120000;AIR;0.0
536;20210110130000;AIR;0.0
536;20210110140000;AIR;0.0
536;20210110150000;AIR;0.0
536;20210110160000;AIR;0.0
536;20210110170000;AIR;0.0
536;20210110180000;AIR;0.0
536;20210110190000;AIR;0.0
536;20210110200000;AIR;0.0
536;20210110210000;AIR;0.0
536;20210110220000;AIR;0.0
536;20210110230000;AIR;0.0
536;20210111000000;AIR;0.0
536;20210111010000;AIR;0.0
536;20210111020000;AIR;0.0
536;20210111030000;AIR;0.0
536;20210111040000;AIR;0.0
536;20210111050000;AIR;0.0
536;20210111060000;AIR;0.0
536;20210111070000;AIR;0.0
536;20210111080000;AIR;0.0
536;20210111090000;AIR;0.0
536;20210111100000;AIR;0.0
536;20210111110000;AIR;0.0
536;20210111120000;AIR;0.0
536;20210111130000;AIR;0.0
536;20210111140000;AIR;0.0
536;20210111150000;AIR;0.0
536;20210111160000;AIR;0.0
536;20210111170000;AIR;0.0
536;20210111180000;AIR;0.0
536;20210111190000;AIR;0.0
536;20210111200000;AIR;0.0
536;20210111210000;AIR;0.0
536;20210111220000;AIR;0.0
536;20210111230000;AIR;0.0
536;20210112000000;AIR;0.0
536;20210112010000;AIR;0.0
536;20210112020000;AIR;0.0
536;20210112030000;AIR;0.0
536;20210112040000;AIR;0.0
536;20210112050000;AIR;0.0
536;20210112060000;AIR;0.0
536;20210112070000;AIR;0.0
536;20210112080000;AIR;0.0
536;20210112090000;AIR;0.0
536;20210112100000;AIR;0.0
536;20210112110000;AIR;0.0
536;20210112120000;AIR;0.0
536;20210112130000;AIR;0.0
536;20210112140000;AIR;0.0
536;20210112150000;AIR;0.0
536;20210112160000;AIR;0.0
536;20210112170000;AIR;0.0
536;20210112180000;AIR;0.1
536;20210112190000;AIR;0.9
536;20210112200000;AIR;1.8
536;20210112210000;AIR;1.6
536;20210112220000;AIR;1.4
536;20210112230000;AIR;1.4
536;20210113000000;AIR;1.1
536;20210113010000;AIR;1.0
536;20210113020000;AIR;0.4
536;20210113030000;AIR;0.4
536;20210113040000;AIR;0.3
536;20210113050000;AIR;0.0
536;20210113060000;AIR;0.0
536;20210113070000;AIR;0.0
536;20210113080000;AIR;0.0
536;20210113090000;AIR;0.0
536;20210113100000;AIR;0.0
536;20210113110000;AIR;0.0
536;20210113120000;AIR;0.0
536;20210113130000;AIR;0.0
536;20210113140000;AIR;0.0
536;20210113150000;AIR;0.0
536;20210113160000;AIR;0.0
536;20210113170000;AIR;0.3
536;20210113180000;AIR;1.0
536;20210113190000;AIR;0.7
536;20210113200000;AIR;1.0
536;20210113210000;AIR;1.0
536;20210113220000;AIR;0.9
536;20210113230000;AIR;0.7
536;20210114000000;AIR;1.9
536;20210114010000;AIR;1.9
536;20210114020000;AIR;1.9
536;20210114030000;AIR;1.7
536;20210114040000;AIR;1.7
536;20210114050000;AIR;0.4
536;20210114060000;AIR;0.4
536;20210114070000;AIR;1.6
536;20210114080000;AIR;1.5
536;20210114090000;AIR;2.3
536;20210114100000;AIR;3.0
536;20210114110000;AIR;2.1
536;20210114120000;AIR;1.7
536;20210114130000;AIR;1.3
536;20210114140000;AIR;0.9
536;20210114150000;AIR;0.4
536;20210114160000;AIR;0.2
536;20210114170000;AIR;0.2
536;20210114180000;AIR;0.0
536;20210114190000;AIR;0.0
536;20210114200000;AIR;0.0
536;20210114210000;AIR;0.1
536;20210114220000;AIR;0.5
536;20210114230000;AIR;0.3
536;20210115000000;AIR;0.7
536;20210115010000;AIR;1.2
536;20210115020000;AIR;0.7
536;20210115030000;AIR;1.1
536;20210115040000;AIR;0.7
536;20210115050000;AIR;0.6
536;20210115060000;AIR;0.6
536;20210115070000;AIR;0.8
536;20210115080000;AIR;0.8
536;20210115090000;AIR;0.4
536;20210115100000;AIR;0.2
536;20210115110000;AIR;0.0
536;20210115120000;AIR;0.0
536;20210115130000;AIR;0.0
536;20210115140000;AIR;0.0
536;20210115150000;AIR;0.0
536;20210115160000;AIR;0.0
536;20210115170000;AIR;0.0
536;20210115180000;AIR;0.0
536;20210115190000;AIR;0.0
536;20210115200000;AIR;0.0
536;20210115210000;AIR;0.0
536;20210115220000;AIR;0.0
536;20210115230000;AIR;0.0
536;20210116000000;AIR;0.0
536;20210116010000;AIR;0.0
536;20210116020000;AIR;0.0
536;20210116030000;AIR;0.0
536;20210116040000;AIR;0.0
536;20210116050000;AIR;0.0
536;20210116060000;AIR;0.0
536;20210116070000;AIR;0.0
536;20210116080000;AIR;0.0
536;20210116090000;AIR;0.0
536;20210116100000;AIR;0.0
536;20210116110000;AIR;0.0
536;20210116120000;AIR;0.0
536;20210116130000;AIR;0.0
536;20210116140000;AIR;0.0
536;20210116150000;AIR;0.0
536;20210116160000;AIR;0.0
536;20210116170000;AIR;0.0
536;20210116180000;AIR;0.0
536;20210116190000;AIR;0.0
536;20210116200000;AIR;0.0
536;20210116210000;AIR;0.0
536;20210116220000;AIR;0.0
536;20210116230000;AIR;0.0
536;20210117000000;AIR;0.0
536;20210117010000;AIR;0.2
536;20210117020000;AIR;0.0
536;20210117030000;AIR;0.0
536;20210117040000;AIR;0.0
536;20210117050000;AIR;0.0
536;20210117060000;AIR;0.0
536;20210117070000;AIR;0.0
536;20210117080000;AIR;0.0
536;20210117090000;AIR;0.0
536;20210117100000;AIR;0.0
536;20210117110000;AIR;0.0
536;20210117120000;AIR;0.0
536;20210117130000;AIR;0.0
536;20210117140000;AIR;0.0
536;20210117150000;AIR;0.0
536;20210117160000;AIR;0.0
536;20210117170000;AIR;0.0
536;20210117180000;AIR;0.0
536;20210117190000;AIR;0.0
536;20210117200000;AIR;0.1
536;20210117210000;AIR;0.0
536;20210117220000;AIR;0.0
536;20210117230000;AIR;0.0
536;20210118000000;AIR;0.0
536;20210118010000;AIR;0.0
536;20210118020000;AIR;0.0
536;20210118030000;AIR;0.0
536;20210118040000;AIR;0.0
536;20210118050000;AIR;0.0
536;20210118060000;AIR;0.0
536;20210118070000;AIR;0.0
536;20210118080000;AIR;0.0
536;20210118090000;AIR;0.0
536;20210118100000;AIR;0.0
536;20210118110000;AIR;0.0
536;20210118120000;AIR;0.1
536;20210118130000;AIR;0.0
536;20210118140000;AIR;0.0
536;20210118150000;AIR;0.0
536;20210118160000;AIR;0.0
536;20210118170000;AIR;0.0
536;20210118180000;AIR;0.0
536;20210118190000;AIR;0.0
536;20210118200000;AIR;0.0
536;20210118210000;AIR;0.0
536;20210118220000;AIR;0.0
536;20210118230000;AIR;0.0
536;20210119000000;AIR;0.0
536;20210119010000;AIR;0.0
536;20210119020000;AIR;0.0
536;20210119030000;AIR;0.0
536;20210119040000;AIR;0.0
536;20210119050000;AIR;0.0
536;20210119060000;AIR;0.0
536;20210119070000;AIR;0.0
536;20210119080000;AIR;0.0
536;20210119090000;AIR;0.0
536;20210119100000;AIR;0.0
536;20210119110000;AIR;0.0
536;20210119120000;AIR;0.0
536;20210119130000;AIR;0.0
536;20210119140000;AIR;0.0
536;20210119150000;AIR;0.0
536;20210119160000;AIR;0.0
536;20210119170000;AIR;0.0
536;20210119180000;AIR;0.0
536;20210119190000;AIR;0.0
536;20210119200000;AIR;0.0
536;20210119210000;AIR;0.0
536;20210119220000;AIR;0.0
536;20210119230000;AIR;0.0
536;20210120000000;AIR;0.0
536;20210120010000;AIR;0.0
536;20210120020000;AIR;0.0
