station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20230425000000;UEB;-2.1;25.9;60.1;113;62;3.7;1.7;5.1;81.1
392;20230426000000;UEB;0.5;7.2;20.5;205;149;5.5;2.7;8.3;77.0
392;20230427000000;UEB;-0.6;8.6;26.3;234;339;10.0;6.1;13.2;61.6
392;20230428000000;UEB;-3.2;27.7;55.8;56;0;11.1;8.8;13.4;84.1
392;20230429000000;UEB;0.3;22.3;48.6;202;269;11.2;7.2;14.0;80.3
392;20230430000000;UEB;4.0;28.8;49.0;84;1;8.5;6.3;10.6;83.1
392;20230501000000;UEB;-3.6;21.2;46.1;90;1;7.3;6.2;8.4;90.0
392;20230502000000;UEB;1.1;15.1;49.0;192;201;7.8;6.1;10.2;80.2
392;20230503000000;UEB;3.6;34.2;51.5;308;610;8.8;4.6;12.0;77.3
392;20230504000000;UEB;-1.5;14.8;33.8;316;752;13.8;9.0;18.0;60.8
392;20230505000000;UEB;-0.2;13.3;68.0;238;428;13.9;11.3;18.3;67.3
392;20230506000000;UEB;-0.3;8.6;32.4;231;295;13.6;10.3;16.3;73.6
392;20230507000000;UEB;-2.2;19.8;51.5;169;168;12.5;9.1;15.3;77.7
392;20230508000000;UEB;-1.6;15.5;35.6;135;22;10.8;9.4;12.5;92.1
392;20230509000000;UEB;-1.9;19.8;64.1;154;45;11.2;8.9;14.9;88.4
392;20230510000000;UEB;-1.7;25.2;51.8;87;2;7.8;6.1;8.9;87.9
392;20230511000000;UEB;-0.4;11.9;30.2;129;10;6.3;5.5;7.8;90.3
392;20230512000000;UEB;3.0;19.8;50.0;214;251;8.1;5.9;10.9;82.7
392;20230513000000;UEB;3.6;24.5;38.2;85;1;7.3;6.5;8.6;94.6
392;20230514000000;UEB;2.1;17.6;33.5;122;21;7.5;6.6;9.2;90.3
392;20230515000000;UEB;-0.8;13.3;34.2;136;70;8.0;6.3;10.3;85.6
392;20230516000000;UEB;7.1;31.7;58.0;37;0;6.6;4.6;8.8;90.5
392;20230517000000;UEB;4.6;38.2;68.8;100;6;5.2;3.1;7.3;69.7
392;20230518000000;UEB;3.7;31.0;59.8;105;39;5.9;2.6;8.5;80.0
392;20230519000000;UEB;3.8;29.5;46.1;86;0;6.8;4.7;9.1;88.4
392;20230520000000;UEB;3.0;26.6;45.4;99;0;10.2;7.3;14.1;86.0
392;20230521000000;UEB;1.4;16.6;41.0;286;396;15.3;11.6;18.8;67.7
392;20230522000000;UEB;0.2;14.0;39.2;340;723;16.4;13.1;20.4;65.1
392;20230523000000;UEB;2.8;18.7;51.8;179;174;13.4;9.9;15.8;83.0
392;20230524000000;UEB;4.3;31.0;49.3;57;0;8.2;6.8;9.9;91.9
392;20230525000000;UEB;3.8;28.8;56.2;164;67;10.0;5.2;13.9;83.0
392;20230526000000;UEB;3.6;27.4;53.6;333;713;14.4;10.0;18.5;68.7
392;20230527000000;UEB;4.4;31.7;52.6;346;851;14.1;9.7;17.9;63.5
392;20230528000000;UEB;3.3;25.2;58.0;347;856;14.9;11.6;18.2;51.4
392;20230529000000;UEB;4.4;39.2;64.1;353;884;15.4;11.2;18.7;44.4
392;20230530000000;UEB;5.2;37.4;69.8;341;766;14.5;10.4;18.0;54.1
392;20230531000000;UEB;4.7;36.0;56.5;349;886;14.4;9.5;18.6;56.5
