station;termin;nat_abbr;kaalnud0;kaalnud1;kabetud0;kabetud1;kacoryd0;kacoryd1;kafagud0;kafagud1;kafraxd0;kafraxd1;kaquerd0;kaquerd1;khpoacd0;khpoacd1
931;20230321000000;PBS;38;36;0;0;3;3;0;0;72;61;0;0;0;0
931;20230322000000;PBS;78;71;0;0;19;16;0;0;279;191;0;0;0;0
931;20230323000000;PBS;93;75;0;0;29;21;0;0;435;420;0;0;0;0
931;20230324000000;PBS;5;32;4;2;3;15;0;0;66;179;0;0;0;0
931;20230325000000;PBS;0;0;26;23;0;0;0;0;64;49;0;0;0;0
931;20230326000000;PBS;0;0;19;23;0;0;0;0;27;46;0;0;0;0
931;20230327000000;PBS;0;0;35;34;0;0;0;0;44;42;0;0;0;0
931;20230328000000;PBS;0;0;15;17;0;0;0;0;159;84;0;0;0;0
931;20230329000000;PBS;0;0;284;150;0;0;0;0;577;449;0;0;0;0
931;20230330000000;PBS;0;0;228;337;0;0;0;0;360;526;0;0;0;0
931;20230331000000;PBS;0;0;57;81;0;0;0;0;61;99;0;0;0;0
931;20230401000000;PBS;0;0;12;12;0;0;0;0;38;35;0;0;0;0
931;20230402000000;PBS;0;0;24;21;0;0;0;0;47;49;0;0;0;0
931;20230403000000;PBS;0;0;41;34;0;0;0;0;42;40;0;0;0;0
931;20230404000000;PBS;0;0;101;99;0;0;0;0;60;60;0;0;0;0
931;20230405000000;PBS;0;0;64;69;0;0;0;0;39;37;5;4;0;0
931;20230406000000;PBS;0;0;158;133;0;0;0;0;128;107;11;10;0;0
931;20230407000000;PBS;0;0;10;45;0;0;0;0;13;44;2;4;0;0
931;20230408000000;PBS;0;0;69;58;0;0;1;1;61;47;4;4;0;0
931;20230409000000;PBS;0;0;150;137;0;0;9;9;178;165;12;11;0;0
931;20230410000000;PBS;0;0;608;455;0;0;18;15;482;335;71;52;0;0
931;20230411000000;PBS;0;0;80;252;0;0;7;9;118;278;14;34;0;0
931;20230412000000;PBS;;0;;84;;0;;5;;196;;9;;0
931;20230421000000;PBS;0;0;78;67;0;0;43;30;40;31;24;21;0;0
931;20230422000000;PBS;0;0;249;256;0;0;137;149;87;95;115;115;0;0
931;20230423000000;PBS;0;0;125;127;0;0;105;99;47;45;89;79;0;0
931;20230424000000;PBS;0;0;64;63;0;0;81;87;22;20;57;68;0;0
931;20230425000000;PBS;0;0;10;15;0;0;17;17;4;9;9;12;0;0
931;20230426000000;PBS;0;0;48;38;0;0;112;110;14;12;29;25;0;0
931;20230427000000;PBS;0;0;153;122;0;0;243;229;45;37;97;84;0;0
931;20230428000000;PBS;0;0;12;50;0;0;41;47;3;13;13;27;2;1
931;20230429000000;PBS;0;0;96;95;0;0;76;80;44;42;90;92;0;0
931;20230430000000;PBS;0;0;144;145;0;0;162;170;56;56;131;131;1;0
931;20230501000000;PBS;0;0;32;34;0;0;92;91;16;18;89;90;47;45
931;20230502000000;PBS;0;0;68;58;0;0;75;67;17;15;49;41;48;41
931;20230503000000;PBS;0;0;95;92;0;0;162;164;28;26;70;70;57;62
931;20230504000000;PBS;0;0;121;115;0;0;138;114;47;43;129;109;72;58
931;20230505000000;PBS;0;0;59;80;0;0;37;68;26;35;28;58;44;62
931;20230506000000;PBS;0;0;31;31;0;0;38;31;17;15;25;24;35;29
931;20230507000000;PBS;0;0;15;15;0;0;56;63;15;17;27;28;42;49
931;20230508000000;PBS;0;0;8;8;0;0;10;10;3;3;3;3;13;12
931;20230509000000;PBS;0;0;12;12;0;0;22;22;4;4;5;5;35;32
931;20230510000000;PBS;0;0;14;13;0;0;24;24;0;0;15;15;32;33
